drug,condition,review,effect,rating
LISINOPRIL,Hypertension,{'This should not be allowed! This is aweful! I feel like hell day in and day out! My mental and physical life has been ruined!'},"I have read all of the side effects on everyone's comments on this thread and I can't believe what I am seeing. Everything that has been happening to them is happening to me right now as I write this and I did not know. I go to the doctors every other day, specialists, test after test. My w.b.c has been so high for years and they can't find out why. I have every ache and pain listed since my mid 20's and every doctor I have seen has diagnosed me with everything under the sun, but I have not gotten any better and now I know it's this pill. I just started taking 40mg today and my chest hurts so bad which is how I found this site. I am looking up lisonopril's story's. It's not only me. I cannot believe it.",2
LISINOPRIL,For high bp,"{'Some diziness, cough, light headedness,occasionally feel tired. But benefits out weight side effects.'}",I had been diagnosed with high bp on early 2016. I taken many types of bp medications. But my bp stayed higher 140 and above. Since starting lisiniprol/hcfzd my bp ranges between 120_125 average.,5
LISINOPRIL,High bp,{'They do lower your bp but at what cost? Side effects are not nice at all'},"Dizzyness,tiredness,flu like symptoms,chest tightness",2
LISINOPRIL,Yes,"{""Don't take any of these meds your doctor is trying to harm a healthy person""}",I immediately started having this persistent cough. Roughly two weeks after taking it. I thought it was just slight cough due to maybe a cold coming on. My daughter thought that maybe I was experiencing an allergic reaction to having an allergy. But it got worrst. Told my Dr. No positive bed response. I went into his office of course another co fee. He changed my prescription to Lesartan. I am still coughing and sometimes vomiting. I stopped taking everything until this cough goes away. My chest hurts. Extremely painful. I feel that was prescribed to harm me not help with hypertension. Give me a low sodium remedy of fruits and vegetables not Toxic waste making me physically ill.,1
LISINOPRIL,High Blood Pressure,"{""This drug needs taken off the market and NEVER prescribed to anyone ever. The seven months that I have been on this medication is the worst seven months of my life and there is no doubt in my mind that it almost killed me.\nI had an issue going on with my health that caused a sudden raise in my blood pressure and was prescribed Lisinopril. Immediately after starting this I started feeling sick, constant headaches, dizzy, confused, brain fog, memory loss, panic attacks....etc...etc..many, many side effects. Being somewhat naïve and trustworthy and thinking I was given something that would help me....Not ever thinking it would be something that would be so devastating to my health. And without knowing this drug was the reason I was so sick..I thought I was having extreme allergies and become hypersensitive to everything..all smells and fumes made me sick...this is what I have done for seven months trying to diagnose why I was so sick :\nIn and out of ER's numerous times.\nNumerous Dr. visits\nCT scans - head, chest\nEKG's\nMRI's - brain\nxrays\nUltrasounds checking arteries of heart and carotid arteries\nBlood work/labs - too many times to recall\nChiropractor/nutritionist\nAlternative medicine\nWas getting ready to see a neurologist next...and then planning a trip to Mayo Clinic if we did not get answers or diagnosis....That is prior to my research online about this drug.\nFor seven months my wife and I have went through our entire home, thinking it was something in o""}","Headaches, dizzy, brain fog, loss of memory, debilitating fatigue, nausea, trembly, feeling of shaking on the inside, joint pain, feeling of suffocating, panic attacks, feeling of dying. ..many more horrible side effects. Lost 7 months of my life being too sick to work or even function.",1
LISINOPRIL,High blood pressure and swelling,"{""I truly believe it helped, but it gave me side effects I couldn't live with""}","Constant stuffy and running nose, constantly spitting up mucus and pleghm",3
LISINOPRIL,V. High BP,"{'BP pressure was ridiculously high, to begin with on 30mg, but that caused dizziness when standing up, DR. advised dose was too high and halved to 15mg, that part of the side effect has now gone.'}","Difficulty focusing on distant objects, otherwise ok.",5
LISINOPRIL,high blood pressure,{'There is a petition on change.org. Stop companies from manufacturing Lisinopril. This medication made me stop breathing three times. Dangerous drugs.'},"coma for 14 days on ventilator stroke, angioedema ,ptsd . Tracheostomy.",1
LISINOPRIL,hypertension,"{""It's snake venom. No really, not kidding. Put poison in your body everyday, feel poisoned. Class action suit dead ahead !""}","Horrific side effects. Fatigue ! Muscle aches. Shakiness . Cough. Total fuzziness in my head, zombie-like. I felt like I was dying within a few days of starting this poison. Took me awhile to pinpoint this stuff as the problem. I stopped taking it a few days ago and I feel like the cloud is lifting. I will find another way to treat my HT , this stuff is the worst !",1
LISINOPRIL,hypertension,{'A man I lived with for twenty-five years took lisinopril for hypertension and developed hallucinations and mania. His adult children had him locked up in a dementia ward where he was given 11 to 13 drugs a day. He went mentally downhill and died without ever getting off the drugs or being diagnosed without drugs. Two years before this began he was landing a twin engine airplane on a short landing strip. Another friend of mine had multiple major medical problems but only after she began taking lisinopril did she start developing mental problems. My mother started hallucinating after being prescribed lisinopril. I got her slowly off the drug and she quit hallucinating. All of these people were over 70 years old.'},I have known three people taking this drug who hallucinated and two developed mania..,1
LISINOPRIL,bp,{'Was told by my doctor the only side effect was a cough. Stopped the drug on June 28th.\nAfter 12 days most of the side effects are gone.'},"Itching, dizzy, lightheaded, can""t sleep, falling asleep during the day, cough,",1
LISINOPRIL,High blood pressure,{''},"Sore throat, coughing, sneezing, felt like throat was closing.throat constantly sore. Started side effects couple days after started taking,told PA who prescribed. He told me it wasn't Lisinopril it was allergies!!! Now I am coughing so much I can hardly get thru the day. This is horrible!!!!!
.",1
LISINOPRIL,high bp,"{""I would question any doctor who prescribes this drug when there are so many known side effects. I was prescribed 20 mg/day and only took half a pill (10 mg). Within an hour I started experiencing several negative side effects. When my throat started to close up, and my chest was so tight I could barely breathe, I thought I was going to have to go to the ER. It felt like I had been poisoned. Then I started researching the drug and found out I had in fact been poisoned. Had no idea ACE inhibitors were derived from snake venom. I realize some people are able to take this without side effects, but if you're not one of them, you'll feel like you're dying.""}","Chest tightness, difficulty breathing, tight/sore neck and jaw, difficulty swallowing, felt like my throat was closing. Extreme tiredness - legs felt extremely heavy, and it was hard to walk. Eyes were bloodshot. Back pain.",1
LISINOPRIL,High blood pressure,"{""WARNING. WARNING. WARNING. DON'T TAKE THIS DRUG! FATAL SIDE EFFECTS.""}","DEATH. After taking for over a year, one morning my lips tingled and started to swell. Went to ER. They gave me epinephrin and steroids. Didnt help. Then whole face swelled and throat closed. Couldn't be intubated. Doctor did tracheotomy. Threw up. Trach. became blocked. Puke went into lungs. Lungs deflated. Couldn't get oxygen. Brain died.",1
LISINOPRIL,Prescribed to control high blood pr,{''},"Two nights ago, I thought I was coming down with the flu. When I went to move in bed the room started just spinning out of control. I was certain I was going to vomit, but I didn't. Once I was able to get up I was okay. Same thing again last night, and now the dizziness is so bad I don't think I can drive. I can't afford not to be working!",1
LISINOPRIL,High blood pressure,"{""Within hours after my first dose, I felt like I had an instant head cold. But when I started getting close to my next dose, I'd start feeling a little better and after taking another dose I would feel bad all over again. It got worse every day until I quit taking it and the symptoms went away quickly after I stopped taking it.""}","Stuffy head, sinus drainage, tickly scratchy throat, started developing cough",1
LISINOPRIL,Hypertension,"{""After suffering 4 years of above symptoms and numerous additional meds added, I researched this drug since it was the only one I was taking at time of first episode. I've been off for 8 days now and have yet to experience a flushing episode! My life was turned upside down these past 4 years and who knows if the dr would have stopped it. Even the pharmacist initially told me flushing wasn't a side effect. She retracted that after I made her look further and found it IS a rare side effect.""}","Facial/chest extreme flushing with bloodshot eyes, abd cramping, pressure sensation in head episodes occurred randomly; anxiety, depression, insomnia, low potassium, weight gain, and so many more of the listed side effects.",1
LISINOPRIL,High blood pressure,{''},"My husband just recently passed away he took one pill of Lisinopril, and his lip swelled up, so we stopped the medication and he passed away 5 days later he could not breathe. We found out Lisinopril closes the airway and could cause death. He was a healthy 69 year old. Then I found out my mother has been taking Lisinopril she is about 48 years old and she has been taking it for 1 1/2yrs and is developing COPD, where she coughs at night continually and can't lay down in bed she has to sleep in a chair.",1
LISINOPRIL,Minor hypertension,"{""Everyone reacts differently to meds and you should talk to your doc if/when you have a problem with a prescription. That being said, don't be afraid to disagree and/or get another opinion. MD's are people and people - even highly educated ones - make mistakes.""}","SHORT VERSION: Don't do it. Just ask for something else. Not worth the dizziness, anxiety, pain/discomfort & shortness of breath - I'd rather have high bp.
If you are having these, stop taking lisinopril & they'll disperse after a few days.
Bad drug. |||||| LONGER VERSION:
I am 28 years old, 5'10 & 190 lbs., fairly athletic/active, have type 1 diabetes but am otherwise healthy, don't drink/drug recreationally and almost never have bad med reactions.
I take a low dose of methadone in the early am (~5:00) & occasional 5mg zolpidem for sleep; no OTC's besides occasional APAP & Tums. I have never once had a reaction, interaction, or uncomfortable/undesirable experience with any of them, mixed or alone.
Was prescribed this for a minor bp jump; doc said she picked this cause it's well-known, safe & unlikely to cause a reaction/interaction (I strongly disagree).
****************MY EXPERIENCE*******************: Took *one time* (late afternoon) and within ~20 mins it began...Dizziness, trouble keeping my balance, mod-severe anxiety, nausea & sharp abdominal pain/cramping, and perceived shortness of breath (sensation; no actual breathing difficulty).
This has persisted into the next day & I have not re-dosed (nor will I).
I had/am having other symptoms that I've omitted because while I assume they are related, it's possible to attribute them to something else: sore throat, random aches & pains, and others.
________ ...So y",1
LISINOPRIL,High blood pressure,{'Bad stuff'},Coughing,1
LISINOPRIL,High blood pressure,{''},"I only took ONE dose of this drug and experienced burning pain in legs, tremors, total inability to sleep, feeling feverish but no actual fever, mindblowing pain in joints, joint pain where I don't usually have it and I have arthritis and fibromyalgia, general all-over sick feeling, dark stools with diarrhea, bad neck and shoulder pain with stiff muscles. This drug is hell and after only one dose!! I still have a couple days to go before I am rid of this drug! The amazing thing is my sister has taken it for a long time and does just fine!",1
LISINOPRIL,hypertension,"{'As an MD, I suggest the FDA pull it of the market. The Pharmaceutical Companies are insensitive to this drug having one of the highest numbers of side effects and drug interactions know in the industry.'}",all noted.,1
LISINOPRIL,High Blood Pressure,{''},"Anxiety, depression, joint pain. Anxiety like I've never had. Almost delusional anxiety, slight paranoia. I stopped taking the medication, and within a week it was like a black cloud lifted. Joint pain, specifically weak knees. Seems to make me more susceptible to athletic injury. Side effects go away when I stop taking the pills in a couple of weeks, and reoccur when I start again. The worst medication I've ever taken as far as side effects.",2
LISINOPRIL,Low ejection fraction,{''},"Aches, weak, headache, no energy and dizzy",1
LISINOPRIL,Blood pressure,{''},"Swollen fingers
Draining nose
Congested nose
Fever",1
LISINOPRIL,,"{""Just this past Month I have been in and out of the Hospital. Even right now as I'm typing this I am having breathing problems. I may go to the Hospital yet again.\nThis Medication is dangerous!""}","I have a very severe cough. Also have severe difficulty breathing. I have been to the Emergency Room numerous times. This past week my Doctor insisted I remain on this Medication. She doesn't believe the side effects are caused by Lisinipril.
I also have Headaches and severe Body aches. But not being able to breathe is the worst. Also feel weak very tired.",1
LISINOPRIL,Essential hypertension,{'Side effects seem to vanish two to three days after stopping drug. Side affects seem to be random.'},"Hives, Lightheaded, Head fog, Dry cough",1
LISINOPRIL,Hbp,{''},"I tried only taking if I was elevated off and on 5 years now. A month ago it was headn higher and I doubled the dose and my shoulders felt on fire. Decided to stop this easter weekend figure if I die its a good weekend go dead. Seriously, im tryn to see if this was the cause for the specific burning shoulders",1
LISINOPRIL,High blood pressure,{''},no side effects noted including a cough which is so common.,5
LISINOPRIL,High blood pressure,{'This medicine can be extremely dangerous for some. There should be some screening for this.'},Cough...which wasn't a problem but the lightheadedness was scary and had trouble breathing which was beyond scarry,1
LISINOPRIL,high blood pressure,{'Have taken lisinopril for 15yrs.My bp is 120 over 70. Works for me.'},none,5
LISINOPRIL,HBP,{'i cant believe how many of the other people sound just like my symptoms! i was working 40-80 hours per week. now early retired and too exhausted to leave home. it is so frustrating that patients have to suffer so much agony.'},"started for hypertension.after this med have restless leg syndrome, severe joint pain, burning pain in legs, lethargy, dizziness, AFIB chronic fatigue, nasal discharge, obstructive sleep apnea",1
LISINOPRIL,Yes,{'4 timesI had episodes of hard breathing. I felt like my lungs were closing up. Constant post nasal drip with cough.'},"Cough, ear ringing, fatigue, post nasal drip.",2
LISINOPRIL,High blood pressure,{''},"My tongue began to swell, my throat almost closed. By the time I went made it to emergency, I could not breath. The doctors did not know what to do. I spent 6 days in intensive care. Almost died. A year and a half later, I am having trouble walking. I cannot sit, stand, or sleep for a long period of time. Lisinopril should be taken off the market.",1
LISINOPRIL,Blood press was 151/72,"{""I was playing golf. Working in yard. Feeling good. Don't look my age. My energy was fine. Now, no get up and go""}","Dull Headaches, tired, fatigue. Some coughing",1
LISINOPRIL,,"{""I can't believe it took me 1 year to realize that it wasn't just me.\nI ran into a friend and she noticed how different I was, then we realized it was this horrible drug. Don't take it! Ruined my life. I use to exercise and handle many tasks and be happy.with this drug, depression, exhaustion, pain.""}","Extreme difficulties with breathing,numbness of hands and feet. Dizziness, fainting spells, uncontrollable heart palpitations, chest pain, constipation, body aches, flu like symptoms each day. Headaches almost daily. Brain fog, exhaustion, not myself. Unable to completed daily tasks.",1
LISINOPRIL,High blood pressure,"{'I started taking this after I figured out the terrible episodes of the above mentioned side effects that had me going to the ER multiple times, to a neurologist, a cardiologist and spending the week at our hospital being observed for seizures, were being caused by my bp med metroprolol. The doctor prescribed this and I took it for two days and had one of the worst ""episodes"" I\'ve had. Didn\'t take it the next two days but the 3rd day by evening my bp was high so I took half a dose (10 mg). Within an hour I was having such a bad episode of the above referenced side effects that I almost went to the hospital, even knowing that it was probably the linisopril. I thought for sure I was dying. Will not take this again. Would rather have the symptoms of high blood pressure than ever feel like this again!'}","Lightheaded, dizzy, heart racing and pounding, chest pains",1
LISINOPRIL,Hypertension (borderline),"{""No bad side effects. In fact, I haven't had a kidney stone since I started taking this med (might be coincidence). I am also an avid runner and have seen race time improvements since I started taken this med (also might be coincidence).""}",None,5
LISINOPRIL,High Blood Pressure,"{""I'm so glad I found this and other reviews. I thought I was going crazy the last several weeks, two ER trips, one urgent care visit and my delusional doc visit. My doctor wanted to double my dose which was too high to begin with so he put me on a water pill, that almost killed me. I've been thinking something is seriously wrong with me and yet they can't find any issues. My quality of life has been horrible and looking at the drug facts hasn't helped any. Today I decided to search reviews, holy eye opening experience and I'm so glad others have had the same experiences. Do not take this drug.""}","Chest Pain, High anxiety, Shortness of Breath, Heart Racing, Dizziness,Nausea/ Vomiting, Brain fog, Fatigue, Muscle aches",1
LISINOPRIL,High blood pressure,{'If anyone else experienced side effects email me my name is mike'},"Don't ever take this drug please. I currently suffer the side effects of this drug soon as I stopped taking it i suffered heart fluttering , fever, fatigue, This med should be banned here don't take this med.",1
LISINOPRIL,High blood pressure,{'Medicine is the devil and they need to stop giving it to ppl.'},Light headed. Flu like symptoms. Extra mucus constantly coming up all sorts of colors and tasting like something toxic. One min I'm hot the next min I'm cold. For TWO whole weeks I've been sick. No appetite. No energy. Sluggish and grumpy all day. Heart constantly fluttering and no breath. This is the worst medicine ever!!! And trust it's other medicines that cause bad side effects as well. I kept my son home today because I couldn't get up and take him to school from lack of energy and nausea. Plz dont allow the doctors to put you on this.,1
LISINOPRIL,High blood pressure,{''},"Mild weight loss over a 3 month period without any dietary changes. Generally, feel more relaxed after taking Lisinopril. Honestly,I feel so much better on this medication vs off this medication.",5
LISINOPRIL,High Blood pressure,{'Not sure if this medicine is worth the side effects.'},"A little sick at my stomach & anxious. Sometimes, light headed.",2
LISINOPRIL,High BP,{'I started this drug on a low does with out the HCTZ but BP got higher so doc added a higher does and HCTZ.. I was fine for a bit but it was cold season and it seemed I got one cold right after another. Asthma got worse. Coughing and coughing all night. I had to strange boughts of uncontrollable vomiting and dizziness. 1st time at ER I was told it was food poisoning. The next time I did research on the drug and realized that for the last 4 months I have been so sick that it was connected to the Lisinopril HCTZ. Its odd because I had taken a lower does without HCTZ for 2 years. I stopped the drug completely.'},"Coughing, Vomiting, Nauseous, weakness, mucus increase, Asthma problems",1
LISINOPRIL,HIGH BLOOD PRESSURE,{'I made the decision to stop taking this drug and within 3 days all of my symptoms disappeared. This is day 4 without the meds and I feel like I have won the lottery. I have so much energy and my breathing is amazing even though I have asthma and COPD. I really have not felt this well for a long time. Yes my bp has gone up but the Lisinopril was not controlling it anyway. I would rather have quality of life. My gp wants to try other meds but I am not so sure. These drugs are poison!!'},"This drug affected my breathing so badly that I ended up on steroids and antibiotics and had to visit hospital to go on a nebuliser. Extreme fatigue,and dizziness that I thought I had something seriously wrong with me. I could not concentrate or think straight and my heart would pound so hard that I thought I was having a heart attack.",1
LISINOPRIL,hbp,{''},chest pains high heart rate feels like I'm going to have a heart attack tummy ache,1
LISINOPRIL,High blood pressure,"{""Don't know if this is a problem with taking lisiniporil but condition seems to be getting worse""}","Cough with stuff in my throat all the time .
Constant spitting mucus up .",1
LISINOPRIL,high blood pressure,{''},I have in the last three years have gotten fairly sick joint pain anxiety numbness big problem with brain fog and stomach pain back dizziness I starting take this medication when my life was in turmoil so I didn't realize it mite be the pill I thought it was from life. I took it at night instead f the date seem by fog was better today I will stop it plus my blood pressure is normal on days I don't take it 117/70/75 so I pray fog lifts pain in joints stops,1
LISINOPRIL,high blood pressure,{''},I have in the last three years have gotten fairly sick joint pain anxiety numbness big problem with brain fog and stomach pain back dizziness I starting take this medication when my life was in turmoil so I didn't realize it mite be the pill I thought it was from life. I took it at night instead f the date seem by fog was better today I will stop it plus my blood pressure is normal on days I don't take it 117/70/75 so I pray fog lifts pain in joints stops,1
LISINOPRIL,High blood pressure,{'Does lower blood pressure but after coughing and sick for months had gone up often. Last trip to urgent care was 178/88.'},Same as above. No previous breathing problems but now had 4 rounds antibiotics and steroids. One antibiotic for people with serious lu g problems! Now on inhalers and pretty sure may have severed asthma.,1
LISINOPRIL,High Blood Pressure,"{'Today my husband witnessed me turn pale and I almost fainted. My heart was racing, and I was extremely incoherent. He rushed me to the urgent care, EKG test normal. Blood Sugar normal, was told that my primary doc might want to ""up the dosage"". I just want to stop taking this med, and do things the natural way with exercise and better eating. I\'m way too young to be on this med. I have never been diagnosed with any other condition, nor do I take any other medication. I was convinced that since HBP runs in my immediate family (mother, siblings) that I had no other choice to ""regulate"" it.'}","Happens like an ""episode"" lasting only a few minutes or seconds: shortness of breath like if I stopped breathing and I'm gasping for air, rapid heart pulse, foggy head, tightness in throat like mild strangulation, tingly hands, jittery, blurred vision, heat sweats.",2
LISINOPRIL,BP,"{""I started this medication just 10 days ago for BP. Within 6 days, it sent me to the ER, busted blood vessels in my eyes, my face felt like it was about to pop, and my BP soared to 225/135. took all day in the ER to get my pressure down to reasonable levels.\nAfter feeling like this through this week, I decided to get online and read more about what it was I am taking. For crying out loud..why didn't I read this stuff sooner. This drug is poison!""}","Foggy Head, not thinking right. Tightness in throat, pressure like mild strangulation. Face feels like a balloon, eyes feel like pressure behind them. Tingly/pressure sensation in arms hands, stomach feels bloated. Dry Cough constantly when I try to talk, its non stop. Vision feels blurred almost like dementia.",1
LISINOPRIL,Hypertension,"{'I would not recommend this drug to anyone, even though my blood pressure did go back to normal the side effects are terrible.'}","Pain in chest, very bad dry hacking cough, feels as though there is an obstruction in my throat very scratchy, feel like I have the flu, body aches.",1
LISINOPRIL,High blood pressure,"{""Please take this out of dr office's and drug stores so no one can take it anymore.""}","Nauseous, dizziness, chest pain, numbness, tingling feet and fingers.Pain in my abdominal.",1
LISINOPRIL,High blood pressure,"{""I've felt horrible for 2 years. I'd rather risk the high bp (which wasn't extremely high). I wouldn't recommend it to anyone.""}","Extreme fatigue, swollen tongue, constant cough, flushed, dizzy, foggy thinking",1
LISINOPRIL,Blood pressure,{''},Had heart palpatation sever anxity insomnia and the jitters. Pressure behind right eye and ear. Made me very sick. Still feeling ill 5 days later. Bad bad Drug,1
LISINOPRIL,BP,{''},"Been on this 5 years.In july started throwing up, coughing day n night swollen face and can not breath or swllow food..told dr after dr..had test taken so many antibo and stariods ..no one will listen to me..been to ent dr ers my reg dr no one will help...taken myself off this med before they kill me.",1
LISINOPRIL,High blood pressure,{''},My eyes and tounge swollen I could not even open my eyes I have pictures if any one wants to see can I sue them ?,1
LISINOPRIL,Blood pressure,{'This stuff is poison.'},Neuropathy and pain in both feet. Dry eyes. Insomnia.,1
LISINOPRIL,Hypertension,{'You will be held accountable. If not by man then by GOD. Thy shall not murder.'},"Death.....This drug killed my 57 yr old brother on 6/18/2016. (Allergic reaction) that caused his tongue, face, throat and other organs to swell. Tongue was swollen to the point where hisnair flow was cut off. (My loved one was swollen so bad he was unrecognizable. Dotors tried 18 different drugs to reverse the allergic reaction and nothing helped. His throat/esophagus was swollen so bad that a tracheostomy tube would not go in. This drug needs to be taken off the market so no other family will have to go through this tragedy. The makers should be jailed for murder of the 1st degree, for you know what this drug is doing to ppl and yet you distribute it to millions. The FDA should take it off the market. I advise anyone that's on it to ask your physician for a different type of medicine. For this is not the 1st nor the last person that will suffer and the end result be death.",1
LISINOPRIL,High bp,{'I have been on several different meds for bp but all so far have been awfull'},"Started out with clenching my jaw so tightly, then after 2-3 weeks sever headache daily...Also blurry vision",1
LISINOPRIL,New onset hypertension,"{""My initial bp was 167/84, as high as 170/105. 2 days after starting 5mg bp down to 126/77. When starting any medication u should read before initiating the drug so u know what side effects to look for. If u have them- stop the drug and consult a physician.my doc is great I encourage starting at lower dosage monitoring, then going up. It's not difficult, and ... Not every drug is for everyone.""}","A little weaker, but then again it's a change",5
LISINOPRIL,Hypertension,{''},"Total body rash, raised red welts over entire body. Head to soles of feet. Extreme itching. Difficulty swallowing, angioedema. Vision problems. Violent headache. 3 trips to ER. 3 day admission to hospital.3 weeks later and entire body is peeling. Looks like a bad sunburn. Still on prednisone which makes very shaky. Still very weak. Thought I was going to die and didn't even care. Not sure I will ever try a new drug.",1
LISINOPRIL,HIGH BLOOD PRESSURE,{''},"a lot of bad dreams. when I stop taking it they go away.
Some dreams …..just glad I woke up….and it was all a dream and not reality.",3
LISINOPRIL,High blood pressure,"{""I have been taking lisinopril for 6 months because of my high blood pressure. It just seems like I can't take it anymore. Like it is poison to my body. All of a sudden feeling light headed/dizzy/floaty. I have now stopped taking it. I'm now going to manage my own blood pressure with lifestyle changes. Taking this medicine is not worth it. I'll be glad when it's all the way out of my system!!""}",Dizzy and light headed,1
LISINOPRIL,high blood pressure,"{'Come to find out this drug was developed from Brazilian pit vipers venom.It kills its prey by lowering its blood pressure among other things.So I guess we are taking snake venom in a pill, I decided to pass after researching this drug I suggest you do too'}","Feeling really bad,insomnia,weird dreams.Woke up in middle of night felt like my heart was going stop.Felt like I was poisoned",1
LISINOPRIL,high blood pressure,{''},My blood pressure was high and I was put on lisinopril. I started getting sick.. Flu like symptoms. I thought it was the flu. As time went on my throat seem to be sore everyday then I started coughing a lot. I went to the doctor and was told I had pneumonia. I started feeling some better after antibiotics. Then the feeling like mucus was constantly going down my throat. I looked it up online and figured I had post nasal drip. Dayquil helped but not enough. I would cough so much until I would throw up and urinate on myself. This has gone on for months. I didn't know what could be the reason. Cough so much I haven't had a voice in months. At night its so much worse. My ears hurt my throat hurts. It hurts to talk. I cant sleep. I finally remembered about the time this all started was when I was put on lisinopril 25mg. I went online and searched and found many forums of people going through the same thing. I use to be on this medicine many years ago 5 mg and 10 mg. Never a big problem then. Just sore throat and light headed. But now my thought process even seems to be effected. I've been off the medicine for 3 days. I take Dayquil all through the day to help me cope. I wish I knew how long until it's out of my system. I've felt so helpless the last few months. I'm not the same person at all. I've suffered terribly because of this medicine.,1
LISINOPRIL,High Blood Pressure,{'Feel Very Bad. Not good for you'},"Dizziness, Eye Problems , nausea, trimers, sweating , chills,",1
LISINOPRIL,hypertension,"{'If you know someone on this drug, ask them to evaluate other aspects of their health NOT connected to blood pressure. I took this poison for over ten years and until I experienced an episode of tongue swelling I never even researched the damage this drug can do. Stupid, I know. I have not taken it since May 9th and since then have been on an ARB which landed me in the er with a swollen tongue and throat after the second dose and a CCB which caused my upper lip to swell after the third dose. I think the years of Lisinopril have permanently damaged my system.'}","headache, ringing ears, digestive issues, joint pain, tingling/ burning lips, anxiety, just about everything you read about in side effects",1
LISINOPRIL,For high blood pressure,{'Never and i mean never take this drug. I hope in time i will get my vision back and the cough will stop.'},I had constant coughing. I asked to be taking off medication. And they said lets see how it goes. A week after that my vision blurred and my blood pressure was 200 higher then it was without the medication. I wish they would pull it from the market. I ended up in the ER. And still have blurred vision a week after stopping the drug.,1
LISINOPRIL,For high blood pressure,{'Never and i mean never take this drug. I hope in time i will get my vision back and the cough will stop.'},I had constant coughing. I asked to be taking off medication. And they said lets see how it goes. A week after that my vision blurred and my blood pressure was 200 higher then it was without the medication. I wish they would pull it from the market. I ended up in the ER. And still have blurred vision a week after stopping the drug.,1
LISINOPRIL,Blood pressure,{'My husband travels with his job and I would see a different Dr an would be prescribed lisinopril over and over'},"Asthma cough,muscle cramps all over ,nausea ,dizziness, confusion,possible liver damage",1
LISINOPRIL,Hypertension due to PKD,"{'This drug was very good at controlling my hypertension, however, after 10 years of annoying coughing and shortness of breath becoming debilitating, it was time to change drugs. It was after I stopped taking it that I realized I had all of the other side effects, too.'}","Bad cough/throat clearing, weight gain, loss of flexibility, loss of feeling in feet, swollen ankles, gradual increase in shortness of breath.",3
LISINOPRIL,High blood pressure,"{'I was put on it after an episode of high blood pressure. Within 2 doses I was very nauseous and unable to eat anything. My hands had a pins and needles feeling. Made me lightheaded and dizzy. Have been off it now for a week. Stomach feels better, but still lightheaded and tingly. Do not recommend.'}","Itching, extreme nausea, dizzy, tingly hands & forearms",1
LISINOPRIL,High Blood Pressure,"{""I'm currently cutting down to 5mg for a few days and I'm going to stop I can't handle the side effects.""}","Tired, no motivation, when I get up in the morning I get dizzy and this is just sitting up slowly, stomach pain, horrible cough, off balance all day, feel like I'm dying. Oh anxiety, panic attacks. Chest pain and joint pain along with severe pain in my back on the middle right side. This is awful going to try diet and exercise to lower it once this gets out of my system.",1
LISINOPRIL,High Blood Pressure,"{""I've been taking Lisinopril for 1 year May 28, 2016. They started me on 20 mg when I was hospitalized for high blood pressure and heart attack/stroke like symptoms. After I was released my Dr. raised me to the 40 mg almost immediately at my follow up appointment.\nIn the last 11 months I have lost almost 60% of my very thick, healthy, very long hair. I am going bald around my hairline and the top of my head, and my hair falls out in clumps. I am scared to wash it or even brush it any more.\nThere is nothing else causing it, the only contributing factor is the Lisoprinil, as again, I have a picture that was taken of my glorious hair right before I started taking the Lisinopril.\nI have only just learned that Lisoprinil causes hair loss by beginning research on the internet. I am so distressed. I've cried and cried over the loss of my hair and now to find out that it is linked to my blood pressure medication?! This isn't fair. I don't even want to go out in public any more! Why do they not tell you these things? I do not mean to sound vain, but my hair was my pride and glory. Most women know what I mean. Female pattern baldness does not run in our family. I just cannot believe this!""}","Blurred vision, sore throat, face and extremity numbness, have lost over half of my hair, still losing it daily.",1
LISINOPRIL,High blood pressure,"{'I was prescribed 20mg by my doctor. She started me with taking the 1/2 pill for 2 weeks, then she increased to a whole pill. I was sick the entire time. Would not recommend this drug.'}","Coughing, fatigue excessive mucus, flu-like symptoms, dizziness, nausea, anxiety, numbness in hands and feet, throat swelling.",1
LISINOPRIL,High BP,"{'Asking doc to switch me to something else. The blurred vision is too annoying. It did bring my bp down to 126/78 most days. But, side effects are not worth it.'}","Blurred vision, dry eyes, swollen throat with tickle, foggy thinking",2
LISINOPRIL,High BP,"{'Asking doc to switch me to something else. The blurred vision is too annoying. It did bring my bp down to 126/78 most days. But, side effects are not worth it.'}","Blurred vision, dry eyes, swollen throat with tickle, foggy thinking",2
LISINOPRIL,Borderline HBP,{''},"No side effects. Since I've started taking it my 1 mi, 2 mi, and 5K race times have improved greatly (may or may not have anything to do with Lisinopril.",5
