drug,condition,review,rating
Lisinopril,For High Blood Pressure:,"“I started 10 mg once a day 2 weeks ago for hbp of 160/90. From day one, I had severe headaches. Then I started getting aches and pains, kind of flu like feelings. Then the muscle cramps started. Now for 4 days, I have been vomiting and have almost zero urine output even though I am making myself drink 120 oz of water a day. I never thought of this medicine causing these side effects until my husband asked me if it could be whats causing me to feel bad. So, as of today, I emailed my Dr and I am stopping Lisinopril after looking up all the side effects. I'll deal with the hbp!”","
2 "
Lisinopril,For High Blood Pressure:,"“I have been taking 1/2 pill of 5mg of Lisinopril for a month, I am itching like crazy, weird, no rash that i can see.  But itch head to bottom of feet every day, night, minute.  my bowel is light yellow and have dirreah for 1 month now and have zero energy, can't breath, and can't function. back on Amplodine  Was trying to get on a kidney friendly medicine but it is not working for me.”","
2 "
Lisinopril,For High Blood Pressure:,“My blood pressure was 145/80 and my physician prescribed 20mg lisinopril. My blood pressure fell almost instantly to 114/70 and has stayed there for 4 months. Now my dosage has been reduced to 10mg but my blood pressure is still 111/71. A great medicine for me with no side effects.”,"
9 "
Lisinopril,For High Blood Pressure:,"“Took my first 10mg dose yesterday about 11am. Felt good all day, Blood pressure (BP) was down and thought I’d be good- then the nausea started about 8pm, with severe stomach cramps / pain starting about 9 pm and getting worse as the night went on. Did not sleep at all due to the pain. Contemplated going to ER which I’ve never done before. About 3:30-am one episode of diarrhea. Convinced it’s the med, as I felt fine before- and doesn’t feel like your typical stomach bug. The cramps are what sets it apart. Terrible. Finally started to dissipate about 6am and I got a couple hours of sleep. Just ate a piece of toast now and Gatorade.. hoping it continues to get better today- I’m NOT taking another dose. I’ll have to wait til Monday now to call the dr office and tell them.  I am going on vaca tues and am not taking a chance that I’ll be sick! I’m going to continue to research more natural ways to lower my BP and maybe try CoQ10.”","
2 "
Lisinopril,For High Blood Pressure:,"“Been taking it for about 6 month and the refill I got for this month has made me feel horrible, I have been light headed to the point of almost passing out, really short of breath and tired all day. I don’t know if they changed something in them now or what but I am done taking this stuff, I feel like I am poisoning my body. I’ll just eat better now and exercise more”","
1 "
Lisinopril,For High Blood Pressure:,"“Early this year my blood pressure just went up and stayed there. 199 over the 96. Some days lower but still 148 over 90. Been on low dose Lisinopril for a month. Now blood pressure is nev128 more than 126 over 80 or under 96 over 60. Left arm still hurts like a Charlie horse. Never had a migraine before or after. I'm 49, white male. Eating about 1860 calories and averaging 3 miles a day not including gym time.”","
9 "
Lisinopril,For High Blood Pressure:,"“Taking this medication for a few months eczema started to appear in many parts of my body.  I stopped it to see if that was the cause, and voilà!  Eczema gone, took two more doses after three days and the eczema started right back up; the marks are there after a month of not taking it.  It did not lower my BP that much anyway.”","
1 "
Lisinopril,For Migraine Prevention:,"“Doctor put me on 10 MG for high blood pressure and my horrible nightly migraines that I have had for 20 years stopped immediately!  I could not believe it. The doctor didn't mention this possibility, only the cough, which I have a touch of and will put up with. I just googled the drug and found the migraine effect on my own after 2 days of no headache. It has only been 10 days so I am keeping my fingers crossed, but so far I am stunned! I have Zomig for the migraines but it was usually an hour or so process in the middle of the night to get it to kick in. I cannot believe how much more rested I feel, not having to be up in pain every night. Sure hope it is effective on my blood pressure too.”",1
Lisinopril,For High Blood Pressure:,"“PLEASE, mention what the pharmaceutical company your lisinopril is from!  

Sometime over the last few months(?), Lupin Pharmaceutical has changed tablet sizes (I think in all dosages).  My brother is on this medication, has been for 8 years.  He hadn't really noticed the pill size change because he recently changed pharmacies also.  Within the last couple of months, he has had some symptoms that he wasn't sure why he was having.  Primarily, dizziness and lightheadedness, which has also stirred up his anxiety, and fluctuations in BP and heart rate (both going VERY low).  He decreased dose, then stopped taking.  Then BP spiked.  Took lower dose again, and dizziness is back, anxiety is back.  Viscous cycle with little answers at this point.”","
1 "
Lisinopril,For Coronary Artery Disease:,"“My friend age 53 began taking Lisinopril after a double coronary bypass June this year. We asked for the Lisinopril prescription from the doctor because it was cheap and he was going to need a long term ACE inhibitor. He had a history of bronchitis in the past. As time rocked on the cough became worse eventually being put on a home nebulizer. The Physician Assistant changed him from Lisinopril to Diovan. Within 2 weeks the cough had gone away, as well as the wheezing and no longer needed the resp treatments. Personally I feel that Lisinopril is a good medicine if one has no other medical issues. In this case I think it was not a good choice. ”","
2 "
Lisinopril,For Diabetic Kidney Disease:,"“Was on 2.5  of lisinopril and it was ok at the start, then I started getting dry  cough. I thought it was a cold but it continued. This was 9 years of coughing . The med DOES give dry hacking cough. Asked Dr to take me off. It's been  3 and half months cough subsides. Have to watch my intake for kidneys but hope in Dec they 're stable”","
7 "
Lisinopril,For High Blood Pressure:,"“I am in my early 40's.  I was prescribed Lisinopril (10mg) to treat high blood pressure.  After a subsequent visit to my doctor, it was determined that 10mg was not dropping my blood pressure and he prescribed 20mg.  This has caused a mild side effect of a constant dry cough and unfortunately, it did not drop my blood pressure either.  I am now taking AMLODIPINE BESYLATE but just started it so I don't have enough history with it to tell if it will work.”","
3 "
Lisinopril,For High Blood Pressure:,"“I was 150/110 so they put me on one a day. BP went back to normal. However, this causes me some stomach discomfort and makes me lightheaded. The big problem though is the fatigue. I can't do very much work on this and it's like I feel I always have to sit or lay down. I might as well use cannabis, which also lowers BP without the side effects. I had to give it a high rating though because it's doing what it is supposed to do.”","
7 "
Lisinopril,For Migraine Prevention:,"“I've been taking imitrex for migraines 8 to 12 times a month for as long as I can remember and taking excedrine on almost a daily basis for milder headaches.  I started Lisinopril 10mg for mildly elevated blood pressure 2 months ago and haven't taken either Imitrex or Excedrine since.  Very happy with the results.  I haven't experienced the cough that some have, so for me this has been a great experience.”","
10 "
Lisinopril,For High Blood Pressure:,"“BP med I was one was Valsartan but was recalled. Started on  lisinopril 40mg. Worked great! Good BP numbers, maybe too low. So after visiting with pharmacist, cut pill in half to 20mg. Worked great. Then ... after a week the dry coughing started. After a month I was coughing off and on all night and multiple times during the day. Worn out. I returned to the doctor who changed my prescription to Losartan, which I have taken for five days. The doctor and nurse—and pharmacist—all said coughing is a common issue with Lisinopril. I would give the pill an 8 for how well it works for BP, yet downgraded it to 5 due to coughing. Nonetheless, I would not take this pill again. As with all medications, I’m sure it works for some; not for others.”","
5 "
Lisinopril,For High Blood Pressure:,“I was on Lisinopril for 8 months and all of a sudden my tongue started feeling funny.  I stopped taking it for a day and it seemed to get better.  The next day after taking it my tongue swelled up.  Seems I had a bad allergic reaction to the medication.  So be warned if your tongue starts feeling funny!”,"
1 "
Lisinopril,For High Blood Pressure:,"“Lisinopril has actually worked very well at lowering my BP, but it really wasn't that high to begin with (140/84), now I am pretty much consistent at (128/79), sometimes lower.  My only issue with the drug, is the constant lightheaded feeling, especially in the mornings, when I am extremely dizzy.  I tried to stop taking lisinopril, but my body reacted strange.  My Systolic was good, but my Diastolic was above 85, and my legs felt like they were on fire and weak.

I am going to speak to my pcd tomorrow about this.”","
7 "
Lisinopril,For High Blood Pressure:,"“Blood pressure droped from 140's over low 100's to 120's over mid 80's in just days.  So far no side effects.  Doctor said there may be a dry cough but they could change to a related medication that would not cause the cough, which would be more expensive. ”","
10 "
Lisinopril,For High Blood Pressure:,"“I was taking Lisinopril for about 6 months for my blood pressure which was 150/103...it went down to about 115/70 which is good.  But I develped the ""ACE cough"" like abut 15% of people do who take an ACE inhibitor.  I had to keep cough drops and hard candy with me at all times and it was really embarrassing in my classes to cough so much.  I also lost feeling in the tips of my fingers and toes a lot, and occasionally felt like my face and lips were swelling.  So finally I had my doctor switch me to a diuretic (hydrochlorothiazide) and all of my symptoms have gone away that I can tell.  I have to go to the bathroom a little more often but that is way better than coughing all the time.  I'm hoping it will work for my high blood pressure too.”","
2 "
Lisinopril,For High Blood Pressure:,"“My BP was 170/110 consistently for weeks and I took my readings to the Doctor who prescribed 10mg of Lisinopril a day. I have now been on the drug for 10 days and my BP is 118/73. Incredible reduction... Touch wood, I have no side effects and Lisinopril seems to be very effective. I would certainly recommend this drug.”",1
Lisinopril,For High Blood Pressure:,“I was put on lisinopril 2x in 1yr n both times it made me have a cough as if i had the whooping cough...all I did was cough like I was coughing up my insides....I immediately stopped taking it once I realized it was the same meds they had me take before...I'm on a different bp meds very few coughs but not as bad as coughing up my insides...my advise is google read n  investigate your meds before taking them”,"
1 "
Lisinopril,For High Blood Pressure:,"“This drug nearly killed me.  The only pill I took resulted in angioedema.  I was admitted to ICU only after I was stabilized with difficulty in the ER.  My throat had swollen shut.  Since then, anecdotally, I have heard every black person I know that has taken this drug has developed and allergic reaction at some point in the cycle.”","
1 "
Lisinopril,For High Blood Pressure:,“Prescribed 20mg once a day for high BP.  After 3 days sore muscles and stomach pain.  Day 4 was in unbearable stomach pain and distention.  Labor pains with gas pain and stabbing.  Started to google side effects and I was in an allergic reaction.  Stopped the meds and am 30 hours out of no doses and massively better.  Still stomach tenderness and distention.  Will make better lifestyle changes rather than take this med.”,"
1 "
Lisinopril,For High Blood Pressure:,"“I'm always afraid to try new medication. When I got the courage to take Lisinopril I was shocked at the very few side effects I had. I did experience pretty terrible migraines for a few days after starting but that was it.

Although if I miss a dose I do feel malaise as if I'm coming down with the flu and my body feels hot. I've taken it with and without food and had zero stomach upset.”","
9 "
Lisinopril,For Heart Attack:,"“Severe reaction, 48 year old male hospitalized for 4 days, tongue and lips swelled, body turned red, hives, severe perspiring trouble, blood pressure dropped 70/41, dehydrated. Was on this medication for 6 months, took medicine in morning had reaction 6 pm no warning.”","
1 "
Lisinopril,For High Blood Pressure:,"“My Pressure was about 220 over 130 when the doctor's office sent me to the ER. I had had Lisonipril before and had lost a lot of weight so it was under control without medication. I Gained the weight back and with it the blood pressure problem.I can say for certain most of the complaints on this drug are ""dose related"". If your light headed and feel like you're tired you need a lesser dose. HIgh Blood pressure, versus low blood pressure, will make you feel bad or feel like garbage. Feeling great with hIgh BP is not good, is merely you got used to a different pressure.  Others complaining are attributing side effects to other diseases like infections or other things. My pressure is reduced to 150/82 effectively.”","
10 "
Lisinopril,For High Blood Pressure:,"“Dr added this to lower my marginal BP  from 135 140 range.  However, my BP went up  immediately to 170 range.  After a week, I stopped the lisinopril  took amlodpine and it went down to 120's within a couple of hours?”","
1 "
Lisinopril,For High Blood Pressure:,“Was admitted to hospital  3/5/18 swelling in mouth and throat had to have breathing tube for for 2 days to keep alive. I have taken this Med for several years it has been well documented that there have been many cases with negative reactions with this medication even causing death. You should talk with your doctor about Lisinopril.”,1
Lisinopril,For High Blood Pressure:,"“Doctor put me on lisinopril 20 mg to reduce my BP, was in the 180’s-190’s systolic. Genetic. Took it for 4 months, BP dropped drastically to 105/50’s. After exactly 4 months broke out in severe hives, never itched so badly. Doc thought was contact dermatitis but I had read about hives from lisinopril so went off it. Now on amlodipine for past 4 days, no more welts but still adjusting. Dizzy but hope that subsides.”","
2 "
Lisinopril,For High Blood Pressure:,"“Lisinopril barely kept my blood pressure in the good range for both diastolic and systolic with my numbers being higher almost 40% of the time with twice-daily monitoring. Additionally, the medication caused a nasty cough that disappeared after I switched medications.”","
6 "
Lisinopril,For High Blood Pressure:,"“The second day I felt like I was getting a head cold, after 5 days I told my doctor and he said it was one of the side effects. I asked why he didn't tell me and he said he never tells his patients the probable side effects. I found a new doctor.”","
1 "
Lisinopril,For High Blood Pressure:,"“55 year old female with hypertension, blood pressure generally around 160/95. Started lisinopril and experienced nausea, flushing and all over sick feeling had to stop medication after 1 day and even missed a day of work due to the side effects.”","
1 "
Lisinopril,For Migraine Prevention:,"“I had headaches since around middle school several times a week.  Never had a doctor who thought much about them, so I just stayed quiet and lived with them.  No over-the-counter medication helped.  I woke up with them.  I developed high blood pressure and my doctor prescribed lisinopril 10 mg.  Soon I realized I was no longer having any headaches -- zero.  I'm so happy we stumbled upon this.  I have told my doctor how much it has helped my headaches so that she remembers it for the next patient who might have constant headaches with no relief.”","
10 "
Lisinopril,For High Blood Pressure:,"“i have been taking the medication for over a year and overtime the side effects have got worse and unbearable, the feeling of extreme tiredness and weakness, started having rapid heart beat, swelling in eyes and hands, its become too much my last few visit my bp has been normal so they are going to take me off and see how i do without it, which im glad cause i couldnt keep taking it with those side effects, hoping i will not need the medication but if i have to go back on im going to ask to be switched to something else”","
4 "
Lisinopril,For High Blood Pressure:,"“Have only been taking Lisinopril for two weeks and while it lowered my blood pressure right away, I couldn't stand the coughing.  I'm glad that I knew from research that the coughing was a side effect of the drug.  I called my doctor today and she changed me over to Norvasc - I hope it works as well as the Lisinopril did, minus the coughing.”","
9 "
Lisinopril,For High Blood Pressure:,"“I have had high blood pressure for over 12 years.  I started taking lisinopril when I was only 32 years old.  Just recently it has stopped controlling my high blood pressure very well.  Additionally, I didn't realize it, but after reading all the other reviews, I now know where my cough is from!  The dry cough started about 1 year ago and I just never really connected the two.  Just today I have stopped the lisinopril and my Doctor has prescribed a beta blocker called metoprolol which I took for the first time today.  Lisinopril worked really well for me for years (over 12) with hardly any side effects except the recent dry cough.  I just believe my body has become tolerant of it and it no longer does the job.”","
7 "
Lisinopril,For High Blood Pressure:,"“I broke out with hives all over my legs, back, and buttocks soon after starting this medication. Some of the hives looked like insect bites, a lot of them were bigger than a nickel, and some were a lot bigger than a quarter. The doctor told me to take Claritin which helped the hives, but then he increased the Lisinopril dosage and the hives broke out again like crazy. Doctor just prescribed a new medication, and the hives have stopped since I stopped taking Lisinopril.”","
1 "
Lisinopril,For High Blood Pressure:,"“I have been taking 40mg of Lisinopril by Lupin for several years. This has been very effective at keeping my blood pressure in check. Then, when Walgreens made the switch to Solco as the manufacturer, I started to get all sorts of symptoms (serious back rash, dizziness, low blood sugar, headaches, and more). At first, I wondered if I developed an allergy to a food that I was eating (as I have been in medicine for nearly 22 years). Then, magically, when I stopped taking the Solco version of Lisinopril all of these symptoms went away. It was the only thing I could think of as the cause. Now, my blood pressure is running around 140/85 and I'll work with my doctor on an appropriate medication if I see any spikes. This company needs to be investigated. I am troubled, indeed.”","
1 "
Lisinopril,For High Blood Pressure:,“I started Lisinopril because my blood pressure was a little high. The first thing I noticed after a week was that I had not had ONE migraine in that time. Usually I suffer 2-3 a week and sometimes much more. I am no longer planning my life around migraines! Lisinopril has cured my migraines.”,"
10 "
Lisinopril,,“Never told I had high BP until I was 40 years old when I went to urgent care for an infected bug bite. No symptoms of hypertension. At 42 I was put on lisinopril because my dentist refused to work on me until I seen a doc about it. I haven’t had any negative symptoms at all so far. It’s been about three months. It took my BP down from 160/108 at the dentist to about 110/65 within just a day.”,"
10 "
Lisinopril,For High Blood Pressure:,"“I have been taking lisinopril 5 mg for several years now. Eventually developed peripheral neuropathy. This nerve damage is painful and debilitating, and causes unsteadiness in walking. My research has found that ALL blood pressure medications ending in RIL such as LISINIPRIL are on the TOP 10 LIST of medications that will cause peripheral neuropathy! Along with that are Statin drugs!  After suffering from nerve damage and learning about the Statin drugs, I quit taking simvastatin. But could not understand why the neuropathy continued to get worse anyway, Only to find out that lisinopril, which I had continued to take also causes peripheral neuropathy. Drug manufacturers produce these medication‘s to supposedly help or cure one problem, but they do not care even one bit how much other damage it can do to the patient. So to control cholesterol and blood pressure, I now have major serious nerve damage, thanks to these drugs!!”","
2 "
Lisinopril,For High Blood Pressure:,"“Severe intestinal angio endema began within 2 weeks of taking this drug.  Caused an anal fissure which is extremely painful and had to be cauterized.  All symptoms disappeared within a week of discontinuing this drug.  Not sure if it matters, but my blood type is AB-.”",1
Lisinopril,For High Blood Pressure:,"“I was put on Lisinopril as a second medicine with my
Toprol Succinate.  I stayed on it nine days and it really
made me sneeze, plus itch so bad on  my entire back.(not broke out at all) .....you know get up out of bed and scratch on the door jamb!!
And still have reoccurring pain with shingles from l0 years
ago under bra line. and I called doc and told him I was
quitting.  I had to stay so close to the bathroom to pee
every 1/2 hour for most of 2 days after quitting.”",1
Lisinopril,For High Blood Pressure:,"“I have been taking this for about 6 weeks now. I had headaches for about a week initially but they have since gone away. However, I have had what I though was bad allergies or a cold for about a month now. After reading some of these reviews and the side affects I believe it is from this medication. Of course my doctor which I visited Friday did not tell me this could be from the medication. It is controlling my BP but don't like the aches, pains, sneezing and coughing that has accompanied it.”","
5 "
Lisinopril,For High Blood Pressure:,"“When I was diagnosed out of the blue, my blood pressure was 194/101.  I was prescribed 30 mg of Lisinopril and I only experienced the dry tickle cough and dry mouth.  In two weeks my blood pressure was at 170/97. Each week for the next three it continually lowered, but the tickle remained.  Doctor dropped it to 20 mg and added 12.5 mg of hydrochlorthiazide in one tablet a day. The cough immediately subsided and I've been on it for 3 and a half years now.  I rarely get headaches (prior to being diagnosed I was having almost daily headaches) and my blood pressure now maintains at 119/69.  Going to the gym 3-4 days a week has helped a lot.”","
10 "
Lisinopril,For High Blood Pressure:,"“Before this pill I had 140/90, doctor suggested to take 5 mg of this drug, took first day at night...  no changes,  next morning I was 170/103 (never experience high before), felt so miserable, migraines, lightheaded, I thought I was dying, dizziness, I even threw up for the first time in my life... called my doctor and he prescribed metoprolol, it worked way better... I am now exercising and losing weight to get rid of these drugs soon.”","
1 "
Lisinopril,For High Blood Pressure:,"“I had taken Lisinopril for 5-6 years with no obvious side effects that caused me problems.  Until 2 years ago, one morning I woke with a very obvious, very swollen eye.  An ophthalmologist reported that I had gotten something in my eye and gave me eye drops.  About 2 weeks later, the same thing occurred with my eye more swollen.  I had an appointment with a new endocrinologist that day and decided to go to the ophthalmologist after that appointment.  On meeting the new doctor, he immediately requested my list of medications and diagnosed the Lisinopril as the cause.”","
9 "
Lisinopril,For High Blood Pressure:,“I have been taking this medication 10 milligram for a year-and-a-half my blood pressure dropped and my severe migraine headaches that I've had since childhood also stopped. No side effects except a little itching every so often”,"
9 "
Lisinopril,For High Blood Pressure:,"“I was prescribed this drug recently by my Dr. for treating my High Blood Pressure.  In Reducing BP it was wonderful and I went from a BP of 143/105 to 95/71 using one of the lowest doses of this drug (5mg). However, I felt dizzy and faint and feeling like I was going to pass out and was afraid to take a second dose. I was sweating so much, even in my sleep. And that night I woke up sweating and with dry mouth and a strange cough was beginning to appear in my lungs.  I knew all this dehydation could not be good for my recently diagnoses CKD and so I stopped using it immediately. Within a few days I felt back to my normal self. Still I don't know the extent of internal damage caused by using it just once. I have decided to reduce my BP through”","
1 "
Lisinopril,For Migraine Prevention:,“Since I started having slightly high blood pressure a few years ago my doctor put me on lisinopril. I was also having severe migraines and she told me that the tablets would help decrease them. Miraculously they worked and apart from the odd headache I was fine. I stopped taking them when my pressure seemed stable (it's never worryingly very high anyway) and sure enough my migraines returned. My blood pressure was normal so I was put on different types of medicines with all the most negative side effects under the sun to try to keep the migraines at bay but they didn't help other than make me groggy and sick. I asked my doc to put me back on the lisinopril when my pressure went back up (slightly) and the migraines disappeared!!!! I don't know if my migraines are connected to my slightly high blood pressure or if it's the lisinopril that keeps them away but I will never ever stop taking it again.”,"
10 "
Lisinopril,For High Blood Pressure:,"“I have been taking lisinopril for 1 1/2 months. I have developed Raynauds symptoms. Fingertips occasionally turning white and numb, toes do the same during cold weather especially. It was good to know some of you have fingertip and toes circulation issues too. Lisinopril is very effective in reducing my blood pressure. I take 10mg/daily.”","
8 "
Lisinopril,For High Blood Pressure:,"“I have been on Lisinopril hctz 12.5 - 10 mg for a week with no reduced bp.
Dr increased to 20 mg second week.
It now makes me dizzy, weak & sleepy after about 30 mins taking it. Seems my bp has dropped a little after 2 days of increase but I don't feel good after taking it. I go back for a bp check this week..not sure If to stay on the higher dose???”","
6 "
Lisinopril,For High Blood Pressure:,“Used to take 5mg generic lisinopril manufactured by lupin. That worked well and had minimal side effects. Recently started taking the medication again in the form of 10 mg generic lisinopril manufactures by Solco. Apparently Walgreens switched to Solco back in September 2020. I’ve been having the same problem as others. This Solco lisinopril caused my blood pressure to spike and felt completely different than the old generic brand. I am switching over to Zestril or another generic maker. Watch out for the Solco made lisinopril. It has adverse effects”,1
Lisinopril,For High Blood Pressure:,"“I started this drug 4 months ago and I have the cough and the headaches. But my blood pressure is still high. I started taking it in the morning, when I got up my blood pressure was running 178/110 or higher within 2 hours it was down, but I was so tired that I was falling a sleep at work and waking up with high blood pressure. So I thought if I started taking it at night then my blood pressure would not be high in the morning. But it is still very high still in the morning 178/117. So the Doctor said start taking it again in the morning - that was a week ago and for the last wk I have woken up at all hours with a bad headache. This morning my blood pressure was 178/117. I will have it changed. ”","
1 "
Lisinopril,For High Blood Pressure:,"“My doctor had me on a 20mg dose once a day. It made me real dizzy. Some mornings when I would sit up in bed I would fall over from almost passing out. I later found out that 
lisinopril a synthetic medication related to a natural snake venom.”","
1 "
Lisinopril,For High Blood Pressure:,"“I just started taking Lisinopril 5 mg. My diagnosis has been labile high blood pressure often around 140/90. My cardiologist prescribed it, along with Atenolol 100 mg and a diuretic 12.5 (Hydrochlorothiazide) which I have been taking for years. In the past two weeks, my blood pressure has been down to a more normal range. I haven't had any noticeable side effects. Doctor did some blood work on 8/31 for kidney function and that was all fine.  I have started dieting to lose about 30 lbs and swimming three or four days a week. I feel much better now that I am really exercising and not just making excuses.”","
8 "
Lisinopril,For High Blood Pressure:,"“I am on Hydrochlorothiazide 12.5mg, as well as Lisinopril for consistent diastolic pressure of 90-92 at 52yrs old (otherwise amazing health, not overweight, exercise. Lisinopril both caused me to wake up in the middle of the night with involuntary hyperventilating. Sort of like what I imagine a panic attack would feel like, except I had no reason to have any anxiety. Feeling like I couldn't stay ""on top of the medicine"", even if I drank lots of water.”","
3 "
Lisinopril,For High Blood Pressure:,"“I have been on this medication now for 11 days and appear to be very lucky as have no side effects but the only thing I am encountering is I don't seem to be losing weight, even thought I have cut out all the sweets, cakes, bread etc .  Maybe it is the medication. I was doing great before I started.... Anyone esle had this experience.”","
7 "
Lisinopril,For High Blood Pressure:,“I used this drug for more than a year. Then one day my hand started to itch.  The itch got worse and by 1am I had hives over most of my upper body.  I ended up spending 3 days in the hospital for an allergic reaction.  One of my nurses said the same thing had happened to her.  It also happened to my brother-in-law.  My husband still takes this meds.  Waiting for the day when I have to drag him to emergency.”,"
1 "
Lisinopril,For High Blood Pressure:,"“I'm a 63 year old big guy (315 pounds) with 147/95 blood pressure and otherwise healthy.  This is my first experience with high blood pressure and I am not on any other medication.  I have been taking 20mg lisinopril twice a day for 10 days.  I have experienced the dry cough and blurred vision others have mentioned.  I have taken my blood pressure at home 22 times in 10 days with the following results: High 164/101, Low 137/86, First 140/94, Last 140/88, average 147/95.  My doctor says I should give lisinopril six weeks to work.  I'll try 30 minutes of exercise 5 days a week for the next five weeks and see if there is any improvement.”","
3 "
Lisinopril,For High Blood Pressure:,"“This medication  has lowered my BP somewhat, but this medication is flat out making me cough my self to death. it is awful. My BP had a hard time  coming down to a normal reading and the MD gave me the  along with another BP medication to see if it would get it under  control, but the side affects are just killing me.....”","
10 "
Lisinopril,For Migraine Prevention:,"“I have high blood pressure. So doctor prescribed me Lisinopril -hydrochlorothiazide, after three months, I suddenly realize that where is my migraine? I am so happy. I check with my doctor, she didn't link the connect either.”","
9 "
Lisinopril,For High Blood Pressure:,“I used this medicine for about 3 years.  It worked great.  But over the past two weeks I have had to go to urgent care for the swelling of the left side of my tongue and the severe swelling of my bottom lip!”,"
1 "
Lisinopril,For High Blood Pressure:,"“Oh my goodness.. I am 34 was 20 weeks pregnant and developed high bp.   delievered my still born at  24 weeks was on metorprolol and norvasc to maintain..   once Delivered bp seemed to level out some. dr released. bp went crazy with no meds. went to fam dr. he prescribe linisopril. bp still high and increasing.  he increased.med. and added metoprolol back. headache hurt all over  hard to speak with out thinking how to speak first. hurt in upper back.stomach aching, slept alot, numbness tingling in arms and hands, gained weight, anxiety. took norvasc and skipped linisopril  headache lots better not completely gone with first dose aching else where gone. numbness lots better. no confusion when speaking no anxiety,”","
1 "
Lisinopril,For High Blood Pressure:,“I have no coughing from this medicine. It is low cost and easy to take. My only concern was leg cramps. With exercise every other day they will go away. You must exercise and take care of yourself on any drug or just as a daily routine in your quality of life. ”,"
10 "
Lisinopril,For High Blood Pressure:,"“I took Lisinopril for approximately five months and could no longer take the coughing.  Initially I was tired all the time.  It had been prescribed to take every morning.  I called my doctor and we switched to taking in the evenings so I would sleep better and that cleared the lethargy.  However the cough never went away.  It was violent and painful (headaches and feeling like ribs were bruised), caused huge disruptions at work, interrupted my sleep, and caused me to pee - even if I had just emptied my bladder.  I found out this was a common side effect and called my doctor today to switch to something new.  I start Losartan tomorrow.”","
1 "
Lisinopril,For High Blood Pressure:,“This is a very dangerous drug and should be taken off the market! I wound up in A & E twice within a few days because I felt like I'd had a heart attack and could drop off any minute. It gave me severe pressure in my chest on both sides of my lower ribcage and back and it got so bad I could barely stand up without being completely breathless! The burning back pain was so bad I couldn't sleep either or lay on my side as I felt severely winded.”,"
1 "
Lisinopril,For High Blood Pressure:,“I was given this medication after being prescribed several beta blockers and not tolerating them very well- I have PVCs and heart block which made it difficult to find a medication that helped my hypertension and did not aggravate my arrhythmia.  My hypertension was severe (generally 180/130 average) and I started with a dose of 10mg plus 20 mg of hydrochlorothiazide (diuretic).  That did not lower my blood pressure enough so I was bumped to 20 mg of lisinopril without the hydrochlorothiazide.  My blood pressure now averages 120/85 unless I am in a stressful situation.  I have the occasional dry cough but am tolerating this medication very well and it has not had any effect on my PVCs and heart block.  I am happy with this medication.”,"
9 "
Lisinopril,For High Blood Pressure:,"“I started taking lisinopril a week ago on Saturday, that same day I started getting lower back pain, I didn't attribute the pain to the drug till a week later.  The pain in my lower back was so extreme I could hardly walk or sleep, so I went to prompt care on Wednesday thinking it might be a UTI, Test was negative, doctor ordered PT. Next day I ended up in ER, bp was extremely high, rapid heart rate, felt like I was gonna pass out, all tests were negative, doctor said it was the new med and dehydration. I called my primary, I told her about the symptoms I was having, she said back pain wasn't a side effect of this drug, and the other symptoms were my body getting used to the drug.”","
2 "
Lisinopril,For High Blood Pressure:,"“I have been on this stuff for 40mg/day 4 months now and I haven't noticed any significant decrease in BP. I have to say I'm ready to get off of it. I've already gained 90 lbs, my sex drive is non-existent, I break out in hives from head-to-toe several times a week, I have constant diarrhea interspersed with prolonged bouts of constipation. I've noticed in the mirror that my one eye seems to be bigger than the other. My hair has been falling out in clumps, I have constant back and abdominal pain. I used to be 6'2"" tall but now suddenly I've shrunk to 6'0"". I've developed female breasts and facial acne as if I'm still 13 years old. I'm going to my doctor next week to have him put me on something else...”","
3 "
Lisinopril,For High Blood Pressure:,"“On lisinopril 5mg for years/ high BP due to high stress.  Last fall due to work changes BP was up a little so Dr. increased to 10mg.  In past 3-4 months occasional dry night cough, restlessness/poor sleep, night/day sweats (not menopause); and in past 4 weeks extreme fatigue, blurred vision, and most irritating either bloatedness or weight gain.  Noted that the lisinopril changed 3 months ago from a small white pill to oval pinkish pill.  Am physically active (brisk walk with Border Collie, & dance 2-3-4 times a week).  Then thought maybe I need to reduce from 10mg back to 5mg until I began checking symptoms.  Seeing Dr to discuss dc'g this - replacing with baby aspirin especially reading concerns posted here.”","
5 "
Lisinopril,For High Blood Pressure:,"“Lisinopril worked great for lowering blood pressure even at a very low dose.  Unfortunately, the dry cough, that seemed to always be worse at night, eventually became more than I could endure.  The cough ended after 2 days.  In addition, I had developed a post nasal drip that I had never experienced before which also disappeared after 2 days.  I am now on Diovan but so far it has not lowered my blood pressure.  Really frustrating.”","
6 "
Lisinopril,For High Blood Pressure:,“I used Lisinopril for seven days.  I am diabetic and am on an insulin pump.  I maintain good control of my blood sugar.  My normal blood sugar is range is between 95 & 130.  A day after starting on Lisinopril my blood sugar readings were between 225 & 375.  My blood sugar remained extremely elevated the seven days I was taking this medication.  After I stopped using Lisinopril my blood sugars returned to normal readings within 1.5 days.  ”,"
1 "
Lisinopril,For High Blood Pressure:,"“I started taking lisinopril in the 20mg dosage once a day.  My blood pressure started around 160-170/90-100.  After 30 days and not much change in my blood pressure, my doctor recommended taking two pills a day.  Since I started that, my headaches have been unbearable.  I am going to stop taking lisinopril.”","
4 "
